signal,scenario,method,use_flooding,mse_clean_p,mse_clean_rel_change,mse_clean_test
Sine,Baseline,Vanilla,True,0.00011,0.0109,t-test
Sine,Multicollinearity,Vanilla,True,0.0,0.0206,t-test
Sine,High-dimensionality,Vanilla,True,0.04562,0.0044,t-test
Sine,High noise,Vanilla,True,0.0001,0.0144,t-test
Sine,All deviations,Vanilla,True,0.00063,0.0141,t-test
Step,Baseline,Vanilla,True,0.94339,-0.0002,Wilcoxon
Step,Multicollinearity,Vanilla,True,0.42788,0.0001,Wilcoxon
Step,High-dimensionality,Vanilla,True,0.90896,0.0003,t-test
Step,High noise,Vanilla,True,0.11094,0.0049,Wilcoxon
Step,All deviations,Vanilla,True,0.00069,0.0162,Wilcoxon
Mixed,Baseline,Vanilla,True,0.01558,0.0037,Wilcoxon
Mixed,Multicollinearity,Vanilla,True,0.17307,0.0005,Wilcoxon
Mixed,High-dimensionality,Vanilla,True,0.64646,-0.0006,Wilcoxon
Mixed,High noise,Vanilla,True,0.7475,0.0006,Wilcoxon
Mixed,All deviations,Vanilla,True,0.22733,0.0025,Wilcoxon
Real,Bodyfat,Vanilla,True,0.00256,0.0176,Wilcoxon
Real,Diabetes,Vanilla,True,0.00123,0.0207,Wilcoxon
Real,Riboflavin,Vanilla,True,0.79216,-0.0188,Wilcoxon
