scenario,scenario2,method,mse_clean,mse_meaningful_weak_best,mse_meaningful_strong_best,mse_noise_weak_best,mse_noise_strong_best
sine,base,TopK+Momentum,6.706,10.7417,22.6099,7.1758,8.9522
sine,base,TopK+Momentum+Flood,7.4584,12.3164,25.4181,7.7984,9.1669
sine,base,Vanilla,5.7611,9.3261,20.4882,5.9673,6.7666
sine,base,Vanilla+Flood,5.8237,9.562,20.9841,5.8726,6.0884
sine,corr,Momentum,5.0001,8.4326,20.3873,5.2101,5.4926
sine,corr,Momentum+Flood,5.0999,8.8195,21.205,5.1898,5.2543
sine,corr,TopK,5.6133,9.1532,21.269,7.9434,9.7044
sine,corr,TopK+Flood,5.6603,9.3565,21.7066,7.918,9.6416
sine,corr,TopK+Momentum,5.6146,9.1439,21.2438,7.9535,9.6555
sine,corr,TopK+Momentum+Flood,5.6642,9.353,21.6921,8.0038,9.9509
sine,corr,Vanilla,4.9994,8.415,20.3443,5.2174,5.5166
sine,corr,Vanilla+Flood,5.1023,8.8304,21.2284,5.1924,5.2499
sine,highdim,Momentum,7.0509,11.6858,24.4856,7.3343,7.6553
sine,highdim,Momentum+Flood,7.0862,11.8442,24.8287,7.1634,7.2093
sine,highdim,TopK,8.5755,14.1658,28.3987,9.2388,10.2247
sine,highdim,TopK+Flood,10.0676,16.7691,32.6688,10.5261,11.0275
sine,highdim,TopK+Momentum,8.5778,14.1753,28.4192,9.2039,10.1327
sine,highdim,TopK+Momentum+Flood,10.1178,16.837,32.7633,10.5835,11.0615
sine,highdim,Vanilla,7.0524,11.6969,24.5113,7.295,7.6021
sine,highdim,Vanilla+Flood,7.0836,11.8406,24.8234,7.1646,7.2196
sine,highnoise,Momentum,30.8434,36.6729,51.2318,31.8751,36.8511
sine,highnoise,Momentum+Flood,31.3379,37.7274,53.1263,31.454,31.6872
sine,highnoise,TopK,31.4098,37.436,52.2899,32.7896,39.1957
sine,highnoise,TopK+Flood,34.0539,41.846,59.3489,34.7654,37.3898
sine,highnoise,TopK+Momentum,31.378,37.3888,52.2196,32.6926,38.6725
sine,highnoise,TopK+Momentum+Flood,34.0688,41.8832,59.4196,34.7376,37.3045
sine,highnoise,Vanilla,30.8469,36.6851,51.2571,31.8631,36.8729
sine,highnoise,Vanilla+Flood,31.2909,37.6445,52.9896,31.4258,31.7222
smooth,all,Momentum,41.0501,49.4889,66.7117,126.3403,48941.1402
smooth,all,Momentum+Flood,41.0693,49.5271,66.7783,116.0217,41570.0758
smooth,all,TopK,42.8116,51.7513,69.7256,204.2288,93031.5071
smooth,all,TopK+Flood,42.8384,51.6631,69.4649,387.049,196992.0222
smooth,all,TopK+Momentum,42.9938,51.8855,69.7877,197.5712,92894.0028
smooth,all,TopK+Momentum+Flood,43.1182,51.8521,69.5175,303.8498,133254.3691
smooth,all,Vanilla,41.9043,50.296,67.4482,158.7482,60652.3249
smooth,all,Vanilla+Flood,41.8467,50.2417,67.3989,119.6112,46160.8184
smooth,base,Momentum,5.3026,8.5209,19.5224,29.4453,10501.8562
smooth,base,Momentum+Flood,5.3021,8.6526,19.8524,13.8309,4399.8992
smooth,base,TopK,5.716,9.1383,20.4456,100.2793,50934.377
smooth,base,TopK+Flood,5.9386,9.7024,21.5222,85.837,42006.2405
smooth,base,TopK+Momentum,5.7469,9.1773,20.4968,105.3584,53412.0487
smooth,base,TopK+Momentum+Flood,6.0561,9.8647,21.7517,101.4834,47138.7645
smooth,base,Vanilla,5.2969,8.5121,19.5089,29.6774,11506.3683
smooth,base,Vanilla+Flood,5.2994,8.6519,19.8547,14.2893,4827.2158
smooth,corr,Momentum,7.5343,9.9716,16.3255,60.8861,24097.3294
smooth,corr,Momentum+Flood,7.5126,9.9647,16.3407,44.6652,17998.2035
smooth,corr,TopK,8.3123,10.937,17.572,82.3755,33582.6266
smooth,corr,TopK+Flood,8.2657,10.9121,17.5796,71.4451,35793.4556
smooth,corr,TopK+Momentum,8.3045,10.901,17.4937,83.552,36748.0684
smooth,corr,TopK+Momentum+Flood,8.286,10.8897,17.493,75.427,36024.9166
smooth,corr,Vanilla,7.5394,9.9646,16.3002,62.3561,24410.7716
smooth,corr,Vanilla+Flood,7.5042,9.9431,16.2992,45.5887,18173.0369
smooth,highdim,Momentum,12.1273,17.9328,32.7325,35.3381,10287.7977
smooth,highdim,Momentum+Flood,12.1183,17.9199,32.7137,34.5412,9614.5765
smooth,highdim,TopK,12.8251,18.883,34.0614,219.5047,89784.0412
smooth,highdim,TopK+Flood,13.014,19.2148,34.6074,217.1236,87204.3723
smooth,highdim,TopK+Momentum,13.0273,19.1896,34.5245,247.2694,98708.0607
smooth,highdim,TopK+Momentum+Flood,13.2052,19.4222,34.8391,264.8925,104374.2359
smooth,highdim,Vanilla,12.52,18.4487,33.4331,33.6647,9481.9347
smooth,highdim,Vanilla+Flood,12.5032,18.4363,33.4275,31.0578,7970.8573
smooth,highnoise,Momentum,30.8794,36.712,51.635,105.4483,36277.6414
smooth,highnoise,Momentum+Flood,31.0234,37.1517,52.5183,63.1179,16988.3399
smooth,highnoise,TopK,31.1876,37.0299,51.9673,183.3379,75564.8387
smooth,highnoise,TopK+Flood,32.1995,38.7261,54.6901,208.1232,77677.9486
smooth,highnoise,TopK+Momentum,31.1896,37.0374,51.983,182.1959,77208.4153
smooth,highnoise,TopK+Momentum+Flood,32.0998,38.4796,54.2233,198.0373,87694.7465
smooth,highnoise,Vanilla,30.8946,36.7386,51.6787,103.4087,35045.7816
smooth,highnoise,Vanilla+Flood,30.9896,37.0589,52.3368,68.095,20630.714
step,all,Momentum,21.5817,35.3883,66.0643,30.2602,40.8227
step,all,Momentum+Flood,21.7358,35.8836,67.0714,30.2912,40.886
step,all,TopK,25.9383,41.2661,74.2238,38.4477,49.0352
step,all,TopK+Flood,26.6331,42.3572,75.9094,39.2109,48.6516
step,all,TopK+Momentum,24.3032,39.0526,71.1427,37.5302,53.646
step,all,TopK+Momentum+Flood,24.6516,39.5837,71.9478,44.6623,83.3915
step,all,Vanilla,22.8982,37.137,68.4612,33.3222,46.0397
step,all,Vanilla+Flood,23.2698,37.8621,69.7164,33.7207,47.1767
step,base,Momentum,4.5353,10.6601,30.6312,7.2585,10.8343
step,base,Momentum+Flood,4.5408,10.7146,30.7592,7.0597,10.2192
step,base,TopK,5.9369,13.2306,34.9551,12.0418,19.5558
step,base,TopK+Flood,5.9942,13.3595,35.1916,12.2091,20.3579
step,base,TopK+Momentum,5.9383,13.2243,34.9372,12.2694,19.9345
step,base,TopK+Momentum+Flood,5.9669,13.3404,35.1848,12.8639,23.9055
step,base,Vanilla,4.567,10.701,30.6859,7.677,11.5546
step,base,Vanilla+Flood,4.5659,10.7286,30.7567,7.6508,11.9026
step,corr,Momentum,5.8656,11.1842,26.0441,11.5351,18.6906
step,corr,Momentum+Flood,5.8889,11.2919,26.2785,11.1278,18.7526
step,corr,TopK,7.6425,13.8541,30.0536,19.7516,39.8247
step,corr,TopK+Flood,7.697,14.0108,30.3636,19.6037,39.5645
step,corr,TopK+Momentum,7.5396,13.7151,29.8604,17.9066,33.3798
step,corr,TopK+Momentum+Flood,7.5693,13.8018,30.0325,17.9472,35.074
step,corr,Vanilla,6.0456,11.4369,26.4057,12.221,20.928
step,corr,Vanilla+Flood,6.0462,11.506,26.5776,11.5749,19.7115
